time_s,vin,vout
1.599599999999996543e-04,1.000000000000000000e+00,5.940242804605592175e-01
1.609599999999996515e-04,1.000000000000000000e+00,5.980638398589616100e-01
1.619599999999996487e-04,1.000000000000000000e+00,6.020632046364845502e-01
1.629599999999996459e-04,1.000000000000000000e+00,6.060227747396043085e-01
1.639599999999996431e-04,1.000000000000000000e+00,6.099429461352301463e-01
1.649599999999996403e-04,1.000000000000000000e+00,6.138241108503025290e-01
1.659599999999996375e-04,1.000000000000000000e+00,6.176666570109959897e-01
1.669599999999996347e-04,1.000000000000000000e+00,6.214709688815335253e-01
1.679599999999996319e-04,1.000000000000000000e+00,6.252374269026128584e-01
1.689599999999996291e-04,1.000000000000000000e+00,6.289664077294526701e-01
1.699599999999996263e-04,1.000000000000000000e+00,6.326582842694582487e-01
1.709599999999996236e-04,1.000000000000000000e+00,6.363134257195134369e-01
1.719599999999996208e-04,1.000000000000000000e+00,6.399321976029014314e-01
1.729599999999996180e-04,1.000000000000000000e+00,6.435149618058577659e-01
1.739599999999996152e-04,1.000000000000000000e+00,6.470620766137598068e-01
1.749599999999996124e-04,1.000000000000000000e+00,6.505738967469560929e-01
1.759599999999996096e-04,1.000000000000000000e+00,6.540507733962399595e-01
1.769599999999996068e-04,1.000000000000000000e+00,6.574930542579690007e-01
1.779599999999996040e-04,1.000000000000000000e+00,6.609010835688349239e-01
1.789599999999996012e-04,1.000000000000000000e+00,6.642752021402893448e-01
1.799599999999995984e-04,1.000000000000000000e+00,6.676157473926249697e-01
1.809599999999995956e-04,1.000000000000000000e+00,6.709230533887184933e-01
1.819599999999995928e-04,1.000000000000000000e+00,6.741974508674378752e-01
1.829599999999995900e-04,1.000000000000000000e+00,6.774392672767173273e-01
1.839599999999995872e-04,1.000000000000000000e+00,6.806488268063024538e-01
1.849599999999995844e-04,1.000000000000000000e+00,6.838264504201703176e-01
1.859599999999995816e-04,1.000000000000000000e+00,6.869724558886263210e-01
1.869599999999995788e-04,1.000000000000000000e+00,6.900871578200827861e-01
1.879599999999995760e-04,1.000000000000000000e+00,6.931708676925198986e-01
1.889599999999995732e-04,1.000000000000000000e+00,6.962238938846342373e-01
1.899599999999995704e-04,1.000000000000000000e+00,6.992465417066778821e-01
1.909599999999995676e-04,1.000000000000000000e+00,7.022391134309896588e-01
