freq_hz,gain_db,phase_deg
4.700360278907431166e+03,-9.877609542445465962e+00,-7.129381826109887754e+01
4.881177381527157195e+03,-1.017287385314768144e+01,-7.194100121817950821e+01
5.068950296608006283e+03,-1.047028871058137156e+01,-7.256875018983308223e+01
5.263946605735422054e+03,-1.076972593146488144e+01,-7.317735632609212360e+01
5.466444184030689030e+03,-1.107106320119042309e+01,-7.376713701371632226e+01
5.676731596130646722e+03,-1.137418404034836072e+01,-7.433843226141341631e+01
5.895108507400262170e+03,-1.167897773441143272e+01,-7.489160131749044069e+01
6.121886110964042928e+03,-1.198533923213263108e+01,-7.542701952395164255e+01
6.357387571164826113e+03,-1.229316901780584104e+01,-7.594507540720547922e+01
6.601948484081884089e+03,-1.260237296211027136e+01,-7.644616800234020104e+01
6.855917355764599961e+03,-1.291286215582159436e+01,-7.693070440532881094e+01
7.119656098863203624e+03,-1.322455273023699007e+01,-7.739909754546630438e+01
7.393540548364283495e+03,-1.353736566773624261e+01,-7.785176416877085614e+01
7.677960997166015659e+03,-1.385122660549389195e+01,-7.828912302193043615e+01
7.973322752256312924e+03,-1.416606563497280646e+01,-7.871159322559354621e+01
8.280046712286466573e+03,-1.448181709947127693e+01,-7.911959282532825455e+01
8.598569967363337128e+03,-1.479841939166488274e+01,-7.951353750836055667e+01
8.929346421914822713e+03,-1.511581475278310727e+01,-7.989383947420131449e+01
9.272847441516187246e+03,-1.543394907478753098e+01,-8.026090644744252245e+01
9.629562524599015887e+03,-1.575277170667425253e+01,-8.061514082130896952e+01
9.999999999999989086e+03,-1.607223526580550654e+01,-8.095693892096230115e+01
1.038468775134349926e+04,-1.639229545498395524e+01,-8.128669037603954450e+01
1.078417396929038296e+04,-1.671291088581501327e+01,-8.160477759244899687e+01
1.119902793272473718e+04,-1.703404290875719340e+01,-8.191157531401964320e+01
1.162984081999204136e+04,-1.735565545013458788e+01,-8.220745026519323062e+01
1.207722655134461274e+04,-1.767771485627869765e+01,-8.249276086654542439e+01
1.254182266379490284e+04,-1.800018974487577950e+01,-8.276785701551624186e+01
1.302429121962333738e+04,-1.832305086352004153e+01,-8.303307992530970694e+01
1.352531974983533109e+04,-1.864627095540979695e+01,-8.328876201548494862e+01
1.404562223391194493e+04,-1.896982463207215019e+01,-8.353522684829827938e+01
