time_s,vin,vgate,vout
3.428000000000000383e-05,2.137260808230416823e-03,2.002135729254872931e+00,3.287508258941911343e+00
3.528000000000000103e-05,2.198598253632140422e-03,2.002196976435572484e+00,3.287305447535626257e+00
3.627999999999999823e-05,2.259848902139414018e-03,2.002258134269273349e+00,3.287102921162219360e+00
3.727999999999999543e-05,2.321010335681512188e-03,2.002319200341676986e+00,3.286900687865050408e+00
3.827999999999999263e-05,2.382080139709764118e-03,2.002380172242109957e+00,3.286698755677104344e+00
3.927999999999998984e-05,2.443055903292874059e-03,2.002441047563614074e+00,3.286497132620679551e+00
4.027999999999998704e-05,2.503935219212105167e-03,2.002501823903044542e+00,3.286295826707060108e+00
4.127999999999998424e-05,2.564715684056304186e-03,2.002562498861164997e+00,3.286094845936186282e+00
4.227999999999998144e-05,2.625394898316794293e-03,2.002623070042740316e+00,3.285894198296339219e+00
4.327999999999997864e-05,2.685970466482094469e-03,2.002683535056632547e+00,3.285693891763805219e+00
4.427999999999997585e-05,2.746439997132496189e-03,2.002743891515895491e+00,3.285493934302558650e+00
4.527999999999997305e-05,2.806801103034469239e-03,2.002804137037868859e+00,3.285294333863940430e+00
4.627999999999997025e-05,2.867051401234907947e-03,2.002864269244271522e+00,3.285095098386332069e+00
4.727999999999996745e-05,2.927188513155204366e-03,2.002924285761294776e+00,3.284896235794832364e+00
4.827999999999996465e-05,2.987210064685150591e-03,2.002984184219698705e+00,3.284697754000940328e+00
4.927999999999996186e-05,3.047113686276666303e-03,2.003043962254904553e+00,3.284499660902218565e+00
5.027999999999995906e-05,3.106897013037342430e-03,2.003103617507086653e+00,3.284301964381994843e+00
5.127999999999995626e-05,3.166557684823803533e-03,2.003163147621265683e+00,3.284104672309018369e+00
5.227999999999995346e-05,3.226093346334882404e-03,2.003222550247403255e+00,3.283907792537156034e+00
5.327999999999995066e-05,3.285501647204605146e-03,2.003281823040495624e+00,3.283711332905059344e+00
5.427999999999994787e-05,3.344780242094975899e-03,2.003340963660662943e+00,3.283515301235852668e+00
5.527999999999994507e-05,3.403926790788570304e-03,2.003399969773242972e+00,3.283319705336810834e+00
5.627999999999994227e-05,3.462938958280919501e-03,2.003458839048883888e+00,3.283124552999037604e+00
5.727999999999993947e-05,3.521814414872698109e-03,2.003517569163636658e+00,3.282929851997153037e+00
5.827999999999993667e-05,3.580550836261688855e-03,2.003576157799046964e+00,3.282735610088963085e+00
5.927999999999993387e-05,3.639145903634550313e-03,2.003634602642244467e+00,3.282541835015158505e+00
6.027999999999993108e-05,3.697597303758350887e-03,2.003692901386034730e+00,3.282348534498992443e+00
6.127999999999992828e-05,3.755902729071900707e-03,2.003751051728991150e+00,3.282155716245957144e+00
6.227999999999992548e-05,3.814059877776841082e-03,2.003809051375547323e+00,3.281963387943470423e+00
6.327999999999992268e-05,3.872066453928524506e-03,2.003866898036085864e+00,3.281771557260562133e+00
6.427999999999991988e-05,3.929920167526646142e-03,2.003924589427028113e+00,3.281580231847561535e+00
6.527999999999991709e-05,3.987618734605655017e-03,2.003982123270925175e+00,3.281389419335777546e+00
6.627999999999991429e-05,4.045159877324918003e-03,2.004039497296548955e+00,3.281199127337194099e+00
6.727999999999991149e-05,4.102541324058648319e-03,2.004096709238978757e+00,3.281009363444144178e+00
6.827999999999990869e-05,4.159760809485580323e-03,2.004153756839694989e+00,3.280820135229006951e+00
6.927999999999990589e-05,4.216816074678405787e-03,2.004210637846663978e+00,3.280631450243893354e+00
7.027999999999990310e-05,4.273704867192947357e-03,2.004267350014430349e+00,3.280443316020334343e+00
7.127999999999990030e-05,4.330424941157088280e-03,2.004323891104203614e+00,3.280255740068966475e+00
7.227999999999989750e-05,4.386974057359426318e-03,2.004380258883946997e+00,3.280068729879240585e+00
7.327999999999989470e-05,4.443349983337683065e-03,2.004436451128466246e+00,3.279882292919081621e+00
7.427999999999989190e-05,4.499550493466831363e-03,2.004492465619496677e+00,3.279696436634607082e+00
7.527999999999988910e-05,4.555573369046961654e-03,2.004548300145789330e+00,3.279511168449812608e+00
7.627999999999988631e-05,4.611416398390874236e-03,2.004603952503202446e+00,3.279326495766253124e+00
